qid,question,0,1,2,3,4,title,brief
1,任何与新冠肺炎相关的事物都会引发当时的感受。,一点没有,很少出现,有时出现,常常出现,总是出现,事件影响量表修订版,过去一月，经历了新冠肺炎疫情的您是否体验到下列困扰，请您仔细阅读每个题目，选择最能够形容每一种困扰对您影响的程度。那件事指新冠肺炎以及其引发的一系列烦恼的事情。请按照自己在最近7天之内的体验，说明这件事情对你有多大影响。
2,我很难安稳地一觉睡到天亮。,一点没有,很少出现,有时出现,常常出现,总是出现,,
3,别的东西也会让我想起那件事。,一点没有,很少出现,有时出现,常常出现,总是出现,,
4,我感觉我易受刺激、易发怒。,一点没有,很少出现,有时出现,常常出现,总是出现,,
5,每当想起那件事或其他事情使我记起它的时候，我会尽量避免使自己心烦意乱。,一点没有,很少出现,有时出现,常常出现,总是出现,,
6,即使我不愿意去想那件事时，也会想起它。,一点没有,很少出现,有时出现,常常出现,总是出现,,
7,我感觉，那件事好像不是真的，或者从未发生过。,一点没有,很少出现,有时出现,常常出现,总是出现,,
8,我设法远离一切能使我记起那件事的事物。,一点没有,很少出现,有时出现,常常出现,总是出现,,
9,有关那件事的画面会在我的脑海中突然出现。,一点没有,很少出现,有时出现,常常出现,总是出现,,
10,我感觉自己神经过敏，易被惊吓。,一点没有,很少出现,有时出现,常常出现,总是出现,,
11,我努力不去想那件事。,一点没有,很少出现,有时出现,常常出现,总是出现,,
12,我觉察到我对那件事仍有很多感受，但我没有去处理它们。,一点没有,很少出现,有时出现,常常出现,总是出现,,
13,我对那件事的感觉有点麻木。,一点没有,很少出现,有时出现,常常出现,总是出现,,
14,我发现我的行为和感觉，好像又回到了那个事件发生的时候那样。,一点没有,很少出现,有时出现,常常出现,总是出现,,
15,我难以入睡。,一点没有,很少出现,有时出现,常常出现,总是出现,,
16,我因那件事而有强烈的情感波动。,一点没有,很少出现,有时出现,常常出现,总是出现,,
17,我想要忘掉那件事。,一点没有,很少出现,有时出现,常常出现,总是出现,,
18,我感觉自己难以集中注意力。,一点没有,很少出现,有时出现,常常出现,总是出现,,
19,令我想起那件事的事物会引起我身体上的反应，如:出汗、呼吸困难、眩晕和心跳。,一点没有,很少出现,有时出现,常常出现,总是出现,,
20,我曾经梦到过那件事。,一点没有,很少出现,有时出现,常常出现,总是出现,,
21,我感觉自己很警觉或很戒备。,一点没有,很少出现,有时出现,常常出现,总是出现,,
22,我尽量不提那件事。,一点没有,很少出现,有时出现,常常出现,总是出现,,
